params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2,fit_time
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-53.66451138,43.72416493,0.9463754,80.61904762,281.6593225,53.66451138,7.3256,6.6124,80.62%,0.9464,281.66
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-53.67723731,43.63047102,0.946490309,80.57142857,211.2508626,53.67723731,7.3265,6.6053,80.57%,0.9465,211.25
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-53.71118364,43.51419266,0.946632916,80.47619048,140.6767399,53.71118364,7.3288,6.5965,80.48%,0.9466,140.68
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-53.8075793,43.28995854,0.946907923,80.42857143,70.27486491,53.8075793,7.3354,6.5795,80.43%,0.9469,70.27
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-55.47376822,47.49743678,0.941747749,78.95238095,271.6764483,55.47376822,7.4481,6.8918,78.95%,0.9417,271.68
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-55.48342394,47.61169017,0.941607625,79.23809524,68.52861452,55.48342394,7.4487,6.9001,79.24%,0.9416,68.53
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-55.50135867,47.52922623,0.941708761,78.95238095,339.4899364,55.50135867,7.4499,6.8941,78.95%,0.9417,339.49
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-55.50703012,47.59894379,0.941623257,79.19047619,203.9438407,55.50703012,7.4503,6.8992,79.19%,0.9416,203.94
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-55.5713661,47.59045027,0.941633674,79.14285714,207.5538197,55.5713661,7.4546,6.8986,79.14%,0.9416,207.55
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-55.57835898,47.68162215,0.941521858,79.0952381,278.8382978,55.57835898,7.4551,6.9052,79.10%,0.9415,278.84
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-55.58711233,47.73353749,0.941458188,78.85714286,67.86019397,55.58711233,7.4557,6.9089,78.86%,0.9415,67.86
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-55.58934886,47.62939919,0.941585906,79.14285714,349.7958722,55.58934886,7.4558,6.9014,79.14%,0.9416,349.8
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-55.59572966,47.44951985,0.941806515,78.95238095,136.9334559,55.59572966,7.4563,6.8884,78.95%,0.9418,136.93
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-55.65287743,47.59769216,0.941624792,78.76190476,135.787709,55.65287743,7.4601,6.8991,78.76%,0.9416,135.79
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-62.28651672,55.87557665,0.931472552,76.61904762,64.3556819,62.28651672,7.8922,7.475,76.62%,0.9315,64.36
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-62.28651672,55.87557665,0.931472552,76.61904762,64.11230373,62.28651672,7.8922,7.475,76.62%,0.9315,64.11
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-62.38550373,55.90737271,0.931433556,76.42857143,257.6857696,62.38550373,7.8984,7.4771,76.43%,0.9314,257.69
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-62.38550373,55.90737271,0.931433556,76.42857143,256.8394697,62.38550373,7.8984,7.4771,76.43%,0.9314,256.84
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-62.38856721,55.83265526,0.931525192,76.52380952,193.2952359,62.38856721,7.8986,7.4721,76.52%,0.9315,193.3
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-62.38856721,55.83265526,0.931525192,76.52380952,192.5967965,62.38856721,7.8986,7.4721,76.52%,0.9315,192.6
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-62.40638126,55.78109066,0.931588432,76.52380952,321.1960719,62.40638126,7.8998,7.4687,76.52%,0.9316,321.2
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-62.40638126,55.78109066,0.931588432,76.52380952,320.1753085,62.40638126,7.8998,7.4687,76.52%,0.9316,320.18
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-62.41709555,55.60534492,0.931803972,76.80952381,321.7079113,62.41709555,7.9004,7.4569,76.81%,0.9318,321.71
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-62.41709555,55.60534492,0.931803972,76.80952381,320.5899808,62.41709555,7.9004,7.4569,76.81%,0.9318,320.59
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-62.45295138,55.68214178,0.931709786,76.61904762,257.8384783,62.45295138,7.9027,7.462,76.62%,0.9317,257.84
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-62.45295138,55.68214178,0.931709786,76.61904762,256.8869822,62.45295138,7.9027,7.462,76.62%,0.9317,256.89
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-62.48418072,55.8618783,0.931489352,76.61904762,128.6357884,62.48418072,7.9047,7.4741,76.62%,0.9315,128.64
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-62.48418072,55.8618783,0.931489352,76.61904762,128.2379174,62.48418072,7.9047,7.4741,76.62%,0.9315,128.24
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-62.49120045,55.69234424,0.931697273,76.71428571,64.12733936,62.49120045,7.9051,7.4627,76.71%,0.9317,64.13
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-62.49120045,55.69234424,0.931697273,76.71428571,64.39937639,62.49120045,7.9051,7.4627,76.71%,0.9317,64.4
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-62.52515568,55.8762372,0.931471742,76.71428571,192.6934798,62.52515568,7.9073,7.475,76.71%,0.9315,192.69
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-62.52515568,55.8762372,0.931471742,76.71428571,193.3933856,62.52515568,7.9073,7.475,76.71%,0.9315,193.39
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-62.62823657,55.89226109,0.931452089,76.61904762,128.2832358,62.62823657,7.9138,7.4761,76.62%,0.9315,128.28
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-62.62823657,55.89226109,0.931452089,76.61904762,128.8371832,62.62823657,7.9138,7.4761,76.62%,0.9315,128.84
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-62.95075592,55.92472383,0.931412276,76.33333333,317.7323747,62.95075592,7.9342,7.4783,76.33%,0.9314,317.73
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-62.95907588,56.11226131,0.931182275,76.52380952,317.4480612,62.95907588,7.9347,7.4908,76.52%,0.9312,317.45
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-62.98335378,56.15331273,0.931131928,76.61904762,254.0842035,62.98335378,7.9362,7.4936,76.62%,0.9311,254.08
