params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2,fit_time
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-124.1498319,120.4899529,0.852227583,49.0952381,21.3678124,124.1498319,11.1423,10.9768,49.10%,0.8522,21.37
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-124.1624765,120.5872201,0.852108292,49.0952381,21.43279839,124.1624765,11.1428,10.9812,49.10%,0.8521,21.43
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-124.1728751,120.7856437,0.851864939,48.23809524,42.88463664,124.1728751,11.1433,10.9903,48.24%,0.8519,42.88
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-124.2150054,121.20904,0.851345673,48.33333333,42.86130285,124.2150054,11.1452,11.0095,48.33%,0.8513,42.86
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-124.2573518,120.9047065,0.851718917,47.80952381,85.59421778,124.2573518,11.1471,10.9957,47.81%,0.8517,85.59
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-124.2653355,120.7055892,0.85196312,47.85714286,85.48311615,124.2653355,11.1474,10.9866,47.86%,0.852,85.48
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-124.3693834,121.0665883,0.85152038,48.57142857,64.00332212,124.3693834,11.1521,11.003,48.57%,0.8515,64
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-124.3899056,121.0191113,0.851578607,48.47619048,64.17233348,124.3899056,11.153,11.0009,48.48%,0.8516,64.17
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-124.4227912,120.9270771,0.851691481,48.14285714,107.0239978,124.4227912,11.1545,10.9967,48.14%,0.8517,107.02
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-124.4252044,121.1220431,0.851452369,48.14285714,107.2599685,124.4252044,11.1546,11.0055,48.14%,0.8515,107.26
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-124.6757116,121.8694287,0.850535753,48.52380952,42.68496943,124.6757116,11.1658,11.0394,48.52%,0.8505,42.68
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-124.7009749,121.9923346,0.850385018,48.66666667,42.78715611,124.7009749,11.167,11.045,48.67%,0.8504,42.79
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-124.711312,121.389602,0.851124227,48.19047619,85.22302008,124.711312,11.1674,11.0177,48.19%,0.8511,85.22
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-124.7423189,121.3406602,0.85118425,48.38095238,85.51918626,124.7423189,11.1688,11.0155,48.38%,0.8512,85.52
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-124.85812,121.6597384,0.850792924,48.47619048,106.4807823,124.85812,11.174,11.0299,48.48%,0.8508,106.48
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-124.8905446,121.6705051,0.850779719,48.42857143,106.7426336,124.8905446,11.1754,11.0304,48.43%,0.8508,106.74
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-124.9230414,122.1302349,0.850215893,48.76190476,21.36965585,124.9230414,11.1769,11.0513,48.76%,0.8502,21.37
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-124.9230414,122.1302349,0.850215893,48.76190476,21.36636424,124.9230414,11.1769,11.0513,48.76%,0.8502,21.37
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-125.0922713,122.2627852,0.850053329,48.76190476,21.29916453,125.0922713,11.1845,11.0573,48.76%,0.8501,21.3
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-125.0922713,122.2627852,0.850053329,48.76190476,21.31092215,125.0922713,11.1845,11.0573,48.76%,0.8501,21.31
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-125.4888301,123.0427272,0.849096786,48.33333333,63.95851588,125.4888301,11.2022,11.0925,48.33%,0.8491,63.96
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-125.4888301,123.0427272,0.849096786,48.33333333,63.94773126,125.4888301,11.2022,11.0925,48.33%,0.8491,63.95
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-125.5888435,123.0169536,0.849128395,48.33333333,63.78692079,125.5888435,11.2066,11.0913,48.33%,0.8491,63.79
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-125.5888435,123.0169536,0.849128395,48.33333333,63.79238009,125.5888435,11.2066,11.0913,48.33%,0.8491,63.79
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-125.7385807,123.6051468,0.848407018,48.33333333,63.82185936,125.7385807,11.2133,11.1178,48.33%,0.8484,63.82
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-125.7663405,123.3995725,0.84865914,48.33333333,63.76178741,125.7663405,11.2146,11.1085,48.33%,0.8487,63.76
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-125.8151345,123.6860036,0.848307852,48,85.26061654,125.8151345,11.2167,11.1214,48.00%,0.8483,85.26
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-125.8151345,123.6860036,0.848307852,48,85.26649475,125.8151345,11.2167,11.1214,48.00%,0.8483,85.27
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-125.8649418,123.1762167,0.84893307,48.33333333,42.64042974,125.8649418,11.219,11.0985,48.33%,0.8489,42.64
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-125.8649418,123.1762167,0.84893307,48.33333333,42.66996169,125.8649418,11.219,11.0985,48.33%,0.8489,42.67
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-125.9108225,123.6067579,0.848405042,48.04761905,84.986274,125.9108225,11.221,11.1179,48.05%,0.8484,84.99
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-125.9108225,123.6067579,0.848405042,48.04761905,85.07058215,125.9108225,11.221,11.1179,48.05%,0.8484,85.07
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-125.9219102,123.2057382,0.848896864,48.61904762,21.3352046,125.9219102,11.2215,11.0998,48.62%,0.8489,21.34
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-125.9444215,123.241496,0.84885301,48.52380952,21.3064611,125.9444215,11.2225,11.1014,48.52%,0.8489,21.31
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-125.973297,124.0311668,0.847884534,48.19047619,106.5627892,125.973297,11.2238,11.1369,48.19%,0.8479,106.56
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-125.973297,124.0311668,0.847884534,48.19047619,106.5326927,125.973297,11.2238,11.1369,48.19%,0.8479,106.53
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-125.999034,123.3446158,0.84872654,48.38095238,42.52859378,125.999034,11.2249,11.1061,48.38%,0.8487,42.53
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-125.999034,123.3446158,0.84872654,48.38095238,42.54029965,125.999034,11.2249,11.1061,48.38%,0.8487,42.54
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-126.0490454,123.9032407,0.848041426,48.14285714,106.3202183,126.0490454,11.2272,11.1312,48.14%,0.848,106.32
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-126.0490454,123.9032407,0.848041426,48.14285714,106.4542451,126.0490454,11.2272,11.1312,48.14%,0.848,106.45
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-126.3093342,123.8440977,0.848113961,48.42857143,42.56459999,126.3093342,11.2387,11.1285,48.43%,0.8481,42.56
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-126.3395997,123.4767589,0.848564476,48.33333333,42.56557417,126.3395997,11.2401,11.112,48.33%,0.8486,42.57
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-126.3528131,124.2589348,0.847605193,48.04761905,85.11857271,126.3528131,11.2407,11.1471,48.05%,0.8476,85.12
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-126.3790159,124.1980327,0.847679885,48.14285714,84.96957707,126.3790159,11.2418,11.1444,48.14%,0.8477,84.97
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-126.4998883,124.2637162,0.847599329,48.19047619,106.4261906,126.4998883,11.2472,11.1474,48.19%,0.8476,106.43
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-126.5289956,124.2343015,0.847635404,48.14285714,106.1238773,126.5289956,11.2485,11.146,48.14%,0.8476,106.12
