params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-78.67853628,79.10549431,0.901758229,68.82591093,131.3716393,78.67853628,8.8701,8.8941,68.83%,0.9018
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-78.68680335,78.71107788,0.902248058,69.08787807,52.51688957,78.68680335,8.8706,8.8719,69.09%,0.9022
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-78.68817436,79.09421363,0.901772239,68.82591093,129.9480026,78.68817436,8.8706,8.8935,68.83%,0.9018
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-78.6927261,78.87988031,0.902038421,69.08787807,78.56975245,78.6927261,8.8709,8.8814,69.09%,0.902
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-78.69779825,78.87078363,0.902049718,69.08787807,77.91700435,78.69779825,8.8712,8.8809,69.09%,0.902
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-78.70759649,77.60269635,0.903624566,69.30221481,26.06664371,78.70759649,8.8717,8.8092,69.30%,0.9036
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-78.70845269,77.61999887,0.903603078,69.27839962,26.31619358,78.70845269,8.8718,8.8102,69.28%,0.9036
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-78.73835697,79.01191698,0.901874443,68.99261729,105.0609202,78.73835697,8.8735,8.8889,68.99%,0.9019
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-78.74021525,79.00364553,0.901884716,69.01643248,103.9838312,78.74021525,8.8736,8.8884,69.02%,0.9019
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-80.09635757,80.54197192,0.899974255,69.04024768,51.64915872,80.09635757,8.9497,8.9745,69.04%,0.9
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-80.09635757,80.54197192,0.899974255,69.04024768,51.67240834,80.09635757,8.9497,8.9745,69.04%,0.9
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-80.11046193,80.55022061,0.899964011,69.04024768,52.15338302,80.11046193,8.9504,8.975,69.04%,0.9
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-80.11046193,80.55022061,0.899964011,69.04024768,52.20712543,80.11046193,8.9504,8.975,69.04%,0.9
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-80.15370323,80.59538346,0.899907923,69.04024768,77.54571247,80.15370323,8.9529,8.9775,69.04%,0.8999
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-80.15370323,80.59538346,0.899907923,69.04024768,77.55557847,80.15370323,8.9529,8.9775,69.04%,0.8999
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-80.16413477,80.6018744,0.899899862,69.01643248,78.22490954,80.16413477,8.9534,8.9779,69.02%,0.8999
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-80.16413477,80.6018744,0.899899862,69.01643248,78.3666935,80.16413477,8.9534,8.9779,69.02%,0.8999
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-80.18812404,80.786035,0.899671152,68.92117171,129.5321155,80.18812404,8.9548,8.9881,68.92%,0.8997
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-80.18812404,80.786035,0.899671152,68.92117171,129.2593646,80.18812404,8.9548,8.9881,68.92%,0.8997
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-80.18938081,80.80308718,0.899649974,68.92117171,130.2484429,80.18938081,8.9549,8.9891,68.92%,0.8996
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-80.18938081,80.80308718,0.899649974,68.92117171,130.1654978,80.18938081,8.9549,8.9891,68.92%,0.8996
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-80.203828,79.56846732,0.901183259,69.39747559,25.87726951,80.203828,8.9557,8.9201,69.40%,0.9012
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-80.203828,79.56846732,0.901183259,69.39747559,25.89553261,80.203828,8.9557,8.9201,69.40%,0.9012
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-80.21833487,80.715179,0.899759148,68.99261729,103.3907075,80.21833487,8.9565,8.9842,68.99%,0.8998
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-80.21833487,80.715179,0.899759148,68.99261729,103.3737893,80.21833487,8.9565,8.9842,68.99%,0.8998
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-80.22015669,79.58440459,0.901163466,69.42129078,26.15998387,80.22015669,8.9566,8.921,69.42%,0.9012
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-80.22015669,79.58440459,0.901163466,69.42129078,26.12529373,80.22015669,8.9566,8.921,69.42%,0.9012
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-80.22204124,80.7260865,0.899745602,68.99261729,104.162878,80.22204124,8.9567,8.9848,68.99%,0.8997
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-80.22204124,80.7260865,0.899745602,68.99261729,104.2827094,80.22204124,8.9567,8.9848,68.99%,0.8997
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-80.43972464,80.89236949,0.899539094,69.04024768,51.56232071,80.43972464,8.9688,8.994,69.04%,0.8995
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-80.44852594,80.8794761,0.899555106,69.01643248,52.02139115,80.44852594,8.9693,8.9933,69.02%,0.8996
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-80.48663029,80.93369755,0.899487768,69.08787807,77.27172971,80.48663029,8.9714,8.9963,69.09%,0.8995
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-80.48854181,80.92516927,0.89949836,69.11169326,77.93945837,80.48854181,8.9715,8.9958,69.11%,0.8995
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-80.50537454,81.1088667,0.899270224,68.92117171,129.8525846,80.50537454,8.9725,9.006,68.92%,0.8993
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-80.50628075,81.11773783,0.899259207,68.92117171,129.052973,80.50628075,8.9725,9.0065,68.92%,0.8993
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-80.54238408,81.04327588,0.899351682,68.99261729,103.1635377,80.54238408,8.9745,9.0024,68.99%,0.8994
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-80.54344464,81.03625339,0.899360403,68.99261729,104.1867681,80.54344464,8.9746,9.002,68.99%,0.8994
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-80.54418674,79.88539452,0.900789664,69.30221481,25.79190493,80.54418674,8.9746,8.9379,69.30%,0.9008
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-80.55384448,79.88214784,0.900793696,69.30221481,26.13235164,80.55384448,8.9752,8.9377,69.30%,0.9008
