params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-60.66250185,60.44007628,0.924938967,78.59014051,224.5214465,60.66250185,7.7886,7.7743,78.59%,0.9249
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",-60.67669722,60.29450556,0.925119752,78.56632532,178.3052351,60.67669722,7.7895,7.765,78.57%,0.9251
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",-60.67741279,60.31365744,0.925095967,78.51869493,177.7730541,60.67741279,7.7896,7.7662,78.52%,0.9251
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-60.68689995,60.05138067,0.925421691,78.73303167,133.9961414,60.68689995,7.7902,7.7493,78.73%,0.9254
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-60.7139906,60.17673758,0.925266009,78.51869493,202.0165329,60.7139906,7.7919,7.7574,78.52%,0.9253
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-60.721373,60.32971552,0.925076025,78.54251012,268.5910933,60.721373,7.7924,7.7672,78.54%,0.9251
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-60.72929693,60.52283335,0.92483619,78.59014051,336.0215719,60.72929693,7.7929,7.7796,78.59%,0.9248
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-60.73596655,60.21307207,0.925220885,78.59014051,200.8073657,60.73596655,7.7933,7.7597,78.59%,0.9252
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-60.74662154,60.53555712,0.924820388,78.6377709,335.8836284,60.74662154,7.794,7.7805,78.64%,0.9248
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-60.75277363,60.07280423,0.925395085,78.49487973,88.3412168,60.75277363,7.7944,7.7507,78.49%,0.9254
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-60.75283675,60.35999159,0.925038425,78.54251012,267.720089,60.75283675,7.7944,7.7692,78.54%,0.925
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-60.76003293,60.32778831,0.925078418,78.59014051,134.1767676,60.76003293,7.7949,7.7671,78.59%,0.9251
