formula,Tc,type
Ba1.72Cu0.13Hg7.24O0.5,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.2Y1.8,94.0,original
Ba1.72Cu1.39O1.31Y2.52,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.61Cu1.39O1.18Rb0.49Y2.04,94.0,original
Ba1.51Cs2.05Cu1.39O1.2Y2.04,94.0,original
Ba1.72Ca4.78Cu3.09O2.98,94.0,original
Ba1.72Cu1.39H3.58O1.31Y2.04,94.0,original
Ba3.72Cu3.28O3.26Y4.44,94.0,original
Ba1.72Cu1.39O1.28Y2.04,94.0,original
Ba1.72Cd5.88Cu1.39O1.31Y0.85,94.0,original
Ba1.59Cu1.39O1.3Y2.04,94.0,original
Ba1.69Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.09Y2.04,94.0,original
Ba1.72Cu0.13Hg7.24O0.53,94.0,original
Ba1.72Cu1.39O0.72Y2.04,94.0,original
Ba1.72Cu1.39O1.29Y2.04,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.31Y2.04,94.0,original
Ba1.72Cu1.39Gd8.68O1.31,94.0,original
Ba1.72Cu1.39O1.29Y2.04,94.0,original
Ba1.72Cu1.39O1.29Y2.04,94.0,original
Ba3.88Cu3.91O3.54Y4.44,94.0,original
Ba1.72Cu1.39O1.31Sm6.8,94.0,original
Bi3.16Ca1.05Cu0.76O1.59Sr3.22,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba3.66Cu3.28O3.24Y4.44,93.0,original
Ba3.88Cu3.28O3.24Y4.44,93.0,original
Ba1.72Cu1.39La1.11O1.27,93.0,original
Ba1.72Cu1.39Nd4.84O1.27,93.0,original
Ba1.72Cu1.93O1.27Y2.04,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba3.88Cu3.91O3.54Y4.44,93.0,original
Ba1.72Cu1.39Er7.65O1.31,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Bi3.16Ca1.05Cu0.76O1.59Sr3.22,93.0,original
Bi3.16Ca1.05Cu0.76O1.59Sr3.22,93.0,original
Bi3.16Ca1.05Cu0.76O1.59Sr3.22,93.0,original
Bi3.42Ca1.05Cu0.76O1.63Sr2.87,93.0,original
Ca3.54Cu2.02Ga1.1O2.37Sr3.22,93.0,original
Ba1.51Cu1.39K0.96O1.19Y2.04,93.0,original
Ba1.61Cu1.39O1.29Y2.04,93.0,original
Cu0.76O1.3Sr3.22Tl4.41Y1.56,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39O1.59Y2.04,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.72Cu1.39Er7.65O1.27,93.0,original
Ba1.72Cu1.39O1.26Y2.04,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Bi3.16Ca1.05Cu0.76O1.59Sr3.22,93.0,original
Ba1.72Ca1.05Cu0.76Hg7.24O1.06,93.0,original
Ba1.72Cu1.39O1.29Y2.04,93.0,original
Ba1.72Cu1.39O1.29Y2.04,93.0,original
Ba1.72Cu1.39O1.28Y2.04,93.0,original
Ba1.72Cu1.39O1.28Y2.04,93.0,original
Ba1.72Cu1.39O1.23Y2.04,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39O1.28Y2.04,93.0,original
Ba1.72Cu1.39O1.29Y2.04,93.0,original
Bi3.16Ca1.17Cu0.76O1.66Sr2.87,93.0,original
Ba1.61Cu1.39Gd9.85O1.31,93.0,original
Bi1.81Ca1.05Cu0.76O1.59Pb2.48Sr3.22,93.0,original
Ca0.8Cu0.76Na1.14O1.31Sr3.22Tl3.05,93.0,original
Ba1.72Cu1.39Ho10.97O1.23,93.0,original
Ba1.72Cu1.39Gd8.95O1.28,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.4Cu1.39K1.5O1.18Y2.04,93.0,original
Ba1.61Cu1.39O1.24Y2.04,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.72Cu1.39O1.27Sm6.8,93.0,original
Ba1.72Cd2.32Cu1.39O1.31Y1.56,93.0,original
Ba1.72Cd3.5Cu1.39O1.31Y1.32,93.0,original
Bi3.16Ca1.05Cu0.76O1.64Sr3.22,93.0,original
Bi3.16Ca1.05Cu0.76O1.64Sr3.22,93.0,original
Ba1.72Cu1.39H0.15O1.29Y2.04,93.0,original
Ba3.88Cu3.91O3.57Y4.44,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39O1.28Yb9.91,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39Dy10.45O1.26,93.0,original
Bi3.16Ca1.05Cu0.76O1.64Sr3.22,93.0,original
Ba1.61Cu1.39K0.41O1.2Y2.04,93.0,original
Bi3.16Ca1.05Cu0.76O1.64Sr3.22,93.0,original
Ba1.72Cu1.39O1.31Sm6.8,93.0,original
Ba1.64Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39Eu2.66O1.31Y1.09,93.0,original
Bi3.16Ca0.8Cu0.76O1.67Sr3.22Y0.13,93.0,original
Ba1.7Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39O1.29Y2.04,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39O1.28Y2.04,93.0,original
Bi3.16Ca1.05Cu0.76O1.59Sr3.22,93.0,original
Ba1.72Cu1.39H0.44O1.31Y2.04,93.0,original
Ba1.72Cu1.39O1.21Tm7.72,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39Er7.65O1.31,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.72Cu1.39O1.28Y2.04,93.0,original
