elements,formula,Predicted_Tc
Ga-Sn,Ga0.792Sn0.208,5.720184038
Bi-In-Sb,Bi0.698In0.296Sb0.006,5.718674167
Ga-Zn,Ga0.845Zn0.155,5.718027944
Bi-Ag,Bi0.936Ag0.064,5.715454167
Ga-Bi-Ag,Ga0.371Bi0.613Ag0.016,5.713748953
Ga-Zn,Ga0.913Zn0.087,5.709856175
Ga-Zn,Ga0.912Zn0.088,5.709856175
Bi-In-Zn,Bi0.729In0.210Zn0.061,5.704471389
Bi-Sn-Ag,Bi0.771Sn0.085Ag0.144,5.701409444
Bi-In-Sb,Bi0.729In0.259Sb0.012,5.700715833
Bi-Sn-Ag,Bi0.322Sn0.631Ag0.047,5.698860556
Ga-Bi-Zn,Ga0.800Bi0.030Zn0.170,5.696847752
Ga-Zn,Ga0.823Zn0.177,5.690418949
Ga-Sn,Ga0.919Sn0.081,5.689669167
Ga-Bi-Zn,Ga0.289Bi0.622Zn0.089,5.683715449
Bi-In-Zn,Bi0.601In0.388Zn0.011,5.683026389
Bi-Sn-Sb,Bi0.661Sn0.205Sb0.134,5.67916
Ga-Sn-Cu,Ga0.282Sn0.598Cu0.120,5.67509265
Sn-Zn-Cu,Sn0.636Zn0.081Cu0.283,5.67117
Sn-Ag-Cu,Sn0.694Ag0.074Cu0.232,5.667360278
Ga-Sb,Ga0.877Sb0.123,5.665152158
Sn-Zn-Cu,Sn0.642Zn0.142Cu0.216,5.656882667
Sn-Zn-Cu,Sn0.680Zn0.148Cu0.172,5.656587944
Bi-Zn,Bi0.908Zn0.092,5.652823611
Bi-Zn,Bi0.902Zn0.098,5.651804167
Ga-Zn-Sb,Ga0.914Zn0.062Sb0.024,5.640695876
Bi-Ag,Bi0.920Ag0.080,5.6378625
Bi-Sn-Sb,Bi0.318Sn0.589Sb0.093,5.634750278
Bi-Sb,Bi0.962Sb0.038,5.632298611
Ga-Sb-Cu,Ga0.823Sb0.161Cu0.016,5.628135171
Sn-Ag-Cu,Sn0.700Ag0.039Cu0.261,5.626925278
