elements,formula,Predicted_Tc
Ga-Sn-Cu,Ga0.002Sn0.855Cu0.143,6.322958611
Sn-Ag-Cu,Sn0.859Ag0.019Cu0.122,6.320566667
Sn-Zn-Cu,Sn0.846Zn0.016Cu0.138,6.313490556
Sn-Sb-Cu,Sn0.855Sb0.026Cu0.119,6.304239167
Sn-Sb-Cu,Sn0.854Sb0.011Cu0.135,6.293668056
Sn-Sb-Cu,Sn0.894Sb0.010Cu0.096,6.292655
Sn-Zn-Cu,Sn0.835Zn0.065Cu0.100,6.291310833
Bi-Sn-Cu,Bi0.020Sn0.855Cu0.125,6.288757222
Bi-Sn-Cu,Bi0.030Sn0.840Cu0.130,6.269617222
Bi-Sn-Cu,Bi0.751Sn0.216Cu0.033,6.256737222
Sn-Zn-Cu,Sn0.825Zn0.049Cu0.126,6.255963333
Sn-Sb-Cu,Sn0.845Sb0.043Cu0.112,6.24161
Sn-Zn-Cu,Sn0.830Zn0.013Cu0.157,6.241551667
Bi-Sn-Cu,Bi0.728Sn0.207Cu0.065,6.238433611
Bi-Sn-Sb,Bi0.742Sn0.210Sb0.048,6.230183889
Ga-Bi,Ga0.005Bi0.995,6.225183333
Bi-Sn-Cu,Bi0.050Sn0.833Cu0.117,6.2241675
Bi-Sn-Cu,Bi0.011Sn0.832Cu0.157,6.223433889
Ga-Bi,Ga0.006Bi0.994,6.221483333
Ga-Bi,Ga0.007Bi0.993,6.213733333
Bi-Sn-Cu,Bi0.054Sn0.825Cu0.121,6.211586944
Ga-Bi,Ga0.008Bi0.992,6.209740897
Sn-Zn-Cu,Sn0.813Zn0.056Cu0.131,6.207799444
Bi,Bi1.000,6.205
Bi-In,Bi1.000,6.205
Bi-Zn,Bi1.000,6.205
Bi-Zn,Bi1.000,6.205
Sn-Zn-Cu,Sn0.752Zn0.016Cu0.232,6.201615278
Bi-Sn-Sb,Bi0.835Sn0.127Sb0.038,6.199898611
Ga-Bi,Ga0.004Bi0.996,6.197958333
Ga-Bi,Ga0.003Bi0.997,6.197958333
Ga-Bi,Ga0.004Bi0.996,6.197958333
Bi-Zn,Bi0.997Zn0.003,6.197958333
Bi-Zn,Bi0.996Zn0.004,6.197958333
Ga-Bi,Ga0.001Bi0.999,6.197425
Ga-Bi,Ga0.001Bi0.999,6.197425
Bi-In,Bi0.999In0.001,6.197425
Bi-In,Bi0.999In0.001,6.197425
Bi-Zn,Bi0.999Zn0.001,6.197425
Bi-Zn,Bi0.999Zn0.001,6.197425
Bi-Zn,Bi0.998Zn0.002,6.197425
Bi-Ag,Bi0.999Ag0.001,6.197425
Bi-In,Bi0.997In0.003,6.196116667
Sn-Sb-Cu,Sn0.826Sb0.064Cu0.110,6.195770556
Ga-Bi,Ga0.010Bi0.990,6.195282564
Bi-Zn,Bi0.995Zn0.005,6.194083333
Bi-Zn,Bi0.995Zn0.005,6.194083333
Bi-Zn,Bi0.995Zn0.005,6.194083333
Bi-Sb,Bi0.999Sb0.001,6.189675
Bi-Ag,Bi0.997Ag0.003,6.188908333
Bi-Ag,Bi0.998Ag0.002,6.188375
Bi-In,Bi0.996In0.004,6.187637778
Bi-In,Bi0.996In0.004,6.187637778
Sn-Sb-Cu,Sn0.822Sb0.033Cu0.145,6.187423333
Sn-Ag-Cu,Sn0.849Ag0.051Cu0.100,6.18578
Bi-In,Bi0.995In0.005,6.183762778
Bi-Ag,Bi0.996Ag0.004,6.182875
Bi-Ag,Bi0.996Ag0.004,6.182875
Bi-Ag,Bi0.996Ag0.004,6.182875
Ga-Sn-Cu,Ga0.044Sn0.853Cu0.103,6.181208611
Bi-In,Bi0.994In0.006,6.180062778
Sn-Sb-Cu,Sn0.818Sb0.012Cu0.170,6.175096111
Bi-In,Bi0.979In0.021,6.1740725
Ga-Bi-Ag,Ga0.230Bi0.769Ag0.001,6.173790192
Bi-Cu,Bi0.998Cu0.002,6.171491667
Bi-Cu,Bi0.998Cu0.002,6.171491667
Bi-Sb,Bi0.998Sb0.002,6.17065
Bi-Ag,Bi0.994Ag0.006,6.169266667
Bi-In,Bi0.980In0.020,6.1672725
Bi-Sn-Sb,Bi0.807Sn0.144Sb0.049,6.165095556
Ga-Bi-In,Ga0.231Bi0.751In0.018,6.164419359
Sn-Zn-Cu,Sn0.799Zn0.062Cu0.139,6.160985556
Bi-Sn-Sb,Bi0.884Sn0.095Sb0.021,6.160818056
Bi-Sn-Sb,Bi0.882Sn0.096Sb0.022,6.160715278
Ga-Bi-In,Ga0.247Bi0.737In0.016,6.159770598
Bi-Sb,Bi0.997Sb0.003,6.155858333
Bi-Sb,Bi0.997Sb0.003,6.155858333
Ga-Bi-In,Ga0.215Bi0.772In0.013,6.154234017
Sn-Zn-Cu,Sn0.791Zn0.077Cu0.132,6.151549444
Ga-Bi-Zn,Ga0.236Bi0.761Zn0.003,6.150040192
Bi-Cu,Bi0.997Cu0.003,6.148919444
Bi-Cu,Bi0.997Cu0.003,6.148919444
Ga-Bi-In,Ga0.227Bi0.736In0.037,6.147505128
Sn-Ag-Cu,Sn0.896Ag0.016Cu0.088,6.146026732
Bi-Ag,Bi0.991Ag0.009,6.14205
Bi-Cu,Bi0.996Cu0.004,6.141486111
Bi-Cu,Bi0.996Cu0.004,6.141486111
Ga-Bi-In,Ga0.237Bi0.727In0.036,6.141407137
Ga-Bi-In,Ga0.247Bi0.708In0.045,6.140013932
Bi-Cu,Bi0.994Cu0.006,6.131761111
Bi-Cu,Bi0.994Cu0.006,6.131761111
Ga-Bi-Zn,Ga0.170Bi0.817Zn0.013,6.13155953
Ga-Bi-In,Ga0.007Bi0.812In0.181,6.130160833
Bi-Sb,Bi0.995Sb0.005,6.129258333
Bi-Sb,Bi0.995Sb0.005,6.129258333
Bi-Ag,Bi0.989Ag0.011,6.128958333
Bi-Ag,Bi0.988Ag0.012,6.128958333
Bi-Ag-Cu,Bi0.990Ag0.010,6.128958333
Ga-Bi-In,Ga0.175Bi0.772In0.053,6.12698015
