elements,calculated,Predicted_Tc,Elements
Y-Ir,yes,3.856007964257967,Y0.993Ir0.007
Y-Sb,yes,7.714976712176708,Y0.997Sb0.003
Y-Au,yes,7.714976712176708,Y0.997Au0.003
Y-Th,yes,3.887604933954938,Y0.934Th0.066
Y-Pu,yes,11.861012238224724,Y0.035Pu0.965
Y-Mg,yes,3.856007964257967,Y0.991Mg0.009
Y-U,yes,1.0642391587301583,Y0.998U0.002
Y-Np,yes,7.714976712176708,Y1.000
Cu-Ba,yes,4.001021032208533,Cu0.010Ba0.990
Cu-La,yes,5.245402264032259,Cu0.010La0.990
Cu-Bi,yes,6.181886512289452,Cu0.004Bi0.996
Cu-Ce,yes,4.401801369047624,Cu0.443Ce0.557
Cu-Fe,yes,7.103899999999988,Cu0.222Fe0.778
Cu-Li,yes,12.354313333888335,Cu0.048Li0.952
Cu-Hg,yes,4.1183784295704315,Cu0.004Hg0.996
Cu-V,yes,5.609614801587304,Cu0.513V0.487
Cu-Cr,yes,2.6409640000000016,Cu0.448Cr0.552
Cu-Re,yes,3.9098814682539653,Cu0.269Re0.731
Cu-Nd,yes,3.4189457407407415,Cu0.019Nd0.981
Cu-Gd,yes,3.1889868754578727,Cu0.453Gd0.547
Cu-Yb,yes,2.47716503174603,Cu0.466Yb0.534
Cu-Sm,yes,2.7204099523809497,Cu0.453Sm0.547
Cu-Eu,yes,2.811388365079363,Cu0.452Eu0.548
Cu-Dy,yes,2.8480702087912064,Cu0.453Dy0.547
Cu-Ho,yes,2.785568708791208,Cu0.088Ho0.912
Cu-Be,yes,3.198364555555553,Cu0.455Be0.545
Cu-Er,yes,2.511897730158728,Cu0.454Er0.546
Cu-Al,yes,2.3744887542087563,Cu0.284Al0.716
Cu-Co,yes,2.198058777777777,Cu0.901Co0.099
Cu-Pr,yes,1.979427896825397,Cu0.981Pr0.019
Cu-Cs,yes,2.4721732857142835,Cu0.452Cs0.548
Cu-Rb,yes,4.723626817256815,Cu0.550Rb0.450
Cu-Cd,yes,1.9209387777777787,Cu0.886Cd0.114
Cu-Ga,yes,5.548036637902428,Cu0.014Ga0.986
Cu-K,yes,4.346359118844113,Cu0.537K0.463
Cu-Na,yes,3.8471299706959705,Cu0.451Na0.549
Cu-Ni,yes,2.6502987222222276,Cu0.427Ni0.573
Cu-Tm,yes,2.8173390976800956,Cu0.454Tm0.546
Cu-Lu,yes,4.572050396825397,Cu0.014Lu0.986
Cu-Zr,yes,4.958316666666661,Cu0.252Zr0.748
Cu-Sc,yes,9.071666576479071,Cu0.014Sc0.986
Cu-Tb,yes,2.2562341190476167,Cu0.451Tb0.549
Cu-Mn,yes,3.6586099603174542,Cu0.974Mn0.026
Cu-W,yes,3.412208095238094,Cu0.301W0.699
Cu-Ag,yes,2.497524912698414,Cu0.641Ag0.359
Cu-Sn,yes,6.287183888888859,Cu0.117Sn0.883
Cu-In,yes,3.7373534945887443,Cu0.089In0.911
Cu-Ge,yes,5.283793843193846,Cu0.001Ge0.999
Cu-Zn,yes,2.2857538992673976,Cu0.531Zn0.469
Cu-Ru,yes,8.614467698412701,Cu0.466Ru0.534
Cu-Hf,yes,3.3678100317460324,Cu0.453Hf0.547
Cu-Nb,yes,9.16598548093487,Cu0.004Nb0.996
Cu-Pt,yes,1.9832945634920642,Cu0.980Pt0.020
Cu-Pd,yes,4.1486128888888825,Cu0.452Pd0.548
Cu-Ta,yes,4.400765626145286,Cu0.012Ta0.988
Cu-Mo,yes,3.004837698412702,Cu0.686Mo0.314
Cu-Tc,yes,9.961554960317455,Cu0.063Tc0.937
Cu-Rh,yes,2.5175366984126963,Cu0.466Rh0.534
Cu-Os,yes,1.9926345634920641,Cu0.982Os0.018
Cu-Ti,yes,3.4629278968253896,Cu0.980Ti0.020
Cu-Ir,yes,1.9785156746031751,Cu0.981Ir0.019
Cu-Sb,yes,3.655137142857142,Cu0.085Sb0.915
Cu-Au,yes,2.179544034391534,Cu0.685Au0.315
Cu-Th,yes,2.5349592360602355,Cu0.539Th0.461
Cu-Pu,yes,11.861012238224724,Cu0.015Pu0.985
Cu-Mg,yes,2.870221923076921,Cu0.533Mg0.467
Cu-U,yes,1.7234338015873027,Cu0.981U0.019
