elements,calculated,Predicted_Tc,Elements
Ca-Cd,yes,19.609116666666612,Ca0.998Cd0.002
Ca-Ga,yes,19.66316666666661,Ca1.000
Ca-K,yes,19.555233333333277,Ca0.997K0.003
Ca-Na,yes,19.579949999999943,Ca0.999Na0.001
Ca-Ni,yes,19.66316666666661,Ca1.000
Ca-Tm,yes,19.555233333333277,Ca0.997Tm0.003
Ca-Lu,yes,19.66316666666661,Ca1.000
Ca-Zr,yes,19.549424999999943,Ca0.999Zr0.001
Ca-Sc,yes,19.555233333333277,Ca0.997Sc0.003
Ca-Tb,yes,19.50111166666661,Ca0.996Tb0.004
Ca-Mn,yes,19.489643333333277,Ca0.998Mn0.002
Ca-W,yes,19.555233333333277,Ca0.997W0.003
Ca-Ag,yes,19.54791666666661,Ca0.998Ag0.002
Ca-Sn,yes,19.66316666666661,Ca1.000
Ca-In,yes,19.457746111111057,Ca0.995In0.005
Ca-Ge,yes,19.66316666666661,Ca1.000
Ca-Zn,yes,19.609116666666612,Ca0.999Zn0.001
Ca-Ru,yes,19.66316666666661,Ca1.000
Ca-Hf,yes,19.555233333333277,Ca0.995Hf0.005
Ca-Nb,yes,19.347523611111058,Ca0.999Nb0.001
Ca-Pt,yes,19.609116666666612,Ca0.999Pt0.001
Ca-Pd,yes,19.66316666666661,Ca1.000
Ca-Ta,yes,19.555233333333277,Ca0.994Ta0.006
Ca-Mo,yes,19.44675277777772,Ca0.998Mo0.002
Ca-Tc,yes,19.555233333333277,Ca0.997Tc0.003
Ca-Rh,yes,19.5105055555555,Ca0.998Rh0.002
Ca-Os,yes,19.2356405555555,Ca0.998Os0.002
Ca-Ti,yes,19.482299999999945,Ca0.996Ti0.004
Ca-Ir,yes,19.495600833333278,Ca0.998Ir0.002
Ca-Sb,yes,19.66316666666661,Ca1.000
Ca-Au,yes,19.555233333333277,Ca0.996Au0.004
Ca-Th,yes,19.609116666666612,Ca0.999Th0.001
Ca-Pu,yes,19.609116666666612,Ca0.999Pu0.001
Ca-Mg,yes,19.49194833333328,Ca0.997Mg0.003
Ca-U,yes,19.609116666666612,Ca0.998U0.002
Ca-Np,yes,19.66316666666661,Ca1.000
Y-Cu,yes,7.449800000000012,Y0.999Cu0.001
Y-Ba,yes,13.379873055555498,Y0.900Ba0.100
Y-La,yes,7.246450000000016,Y0.998La0.002
Y-Bi,yes,6.5812305555555755,Y0.994Bi0.006
Y-Ce,yes,5.397838888888895,Y0.996Ce0.004
Y-Fe,yes,7.449800000000012,Y0.999Fe0.001
Y-Li,yes,11.7831944444444,Y0.004Li0.996
Y-Hg,yes,7.700000000000007,Y1.000
Y-V,yes,7.700000000000007,Y1.000
Y-Cr,yes,7.700000000000007,Y1.000
Y-Re,yes,6.004712777777794,Y0.988Re0.012
Y-Nd,yes,7.449800000000012,Y0.999Nd0.001
Y-Gd,yes,7.145055555555574,Y0.997Gd0.003
Y-Yb,yes,7.449800000000012,Y0.999Yb0.001
Y-Sm,yes,7.327022222222237,Y0.998Sm0.002
Y-Eu,yes,7.327022222222237,Y0.998Eu0.002
Y-Dy,yes,6.777333333333355,Y0.995Dy0.005
Y-Ho,yes,7.700000000000007,Y1.000
Y-Be,yes,6.9803888888889105,Y0.996Be0.004
Y-Er,yes,7.327022222222237,Y0.998Er0.002
Y-Al,yes,7.426383333333345,Y0.999Al0.001
Y-Co,yes,7.082588888888909,Y0.997Co0.003
Y-Pr,yes,7.449800000000012,Y0.999Pr0.001
Y-Cs,yes,7.148855555555574,Y0.997Cs0.003
Y-Rb,yes,7.449800000000012,Y0.999Rb0.001
Y-Cd,yes,7.449800000000012,Y0.999Cd0.001
Y-Ga,yes,7.700000000000007,Y1.000
Y-K,yes,7.700000000000007,Y1.000
Y-Na,yes,6.9803888888889105,Y0.996Na0.004
Y-Ni,yes,7.381760833333346,Y0.999Ni0.001
Y-Tm,yes,7.449800000000012,Y0.999Tm0.001
Y-Lu,yes,6.737566666666688,Y0.995Lu0.005
Y-Zr,yes,6.958197222222243,Y0.996Zr0.004
Y-Sc,yes,8.213616666666669,Sc1.000
Y-Tb,yes,6.47503500000002,Y0.994Tb0.006
Y-Mn,yes,6.448618888888908,Y0.993Mn0.007
Y-W,yes,7.168688888888907,Y0.997W0.003
Y-Ag,yes,7.427590000000012,Y0.999Ag0.001
Y-Sn,yes,6.9372277777777995,Y0.996Sn0.004
Y-In,yes,7.449800000000012,Y0.999In0.001
Y-Ge,yes,6.745733333333355,Y0.995Ge0.005
Y-Zn,yes,7.700000000000007,Y1.000
Y-Ru,yes,7.449800000000012,Y0.999Ru0.001
Y-Hf,yes,7.159950000000017,Y0.997Hf0.003
Y-Nb,yes,9.258480833333325,Y0.002Nb0.998
Y-Pt,yes,6.484649722222242,Y0.994Pt0.006
Y-Pd,yes,7.107516666666687,Y0.997Pd0.003
Y-Ta,yes,7.449800000000012,Y0.999Ta0.001
Y-Mo,yes,7.311918333333348,Y0.999Mo0.001
Y-Tc,yes,8.532705555555536,Y0.089Tc0.911
Y-Rh,yes,6.856091666666692,Y0.997Rh0.003
Y-Os,yes,7.12234500000002,Y0.999Os0.001
Y-Ti,yes,7.327800000000014,Y0.998Ti0.002
Y-Ir,yes,7.408057500000013,Y0.999Ir0.001
Y-Sb,yes,7.700000000000007,Y1.000
Y-Au,yes,7.449800000000012,Y0.999Au0.001
Y-Th,yes,7.700000000000007,Y1.000
Y-Pu,yes,12.473906672412573,Y0.005Pu0.995
Y-Mg,yes,7.700000000000007,Y1.000
Y-U,yes,7.449800000000012,Y0.999U0.001
Y-Np,yes,6.594855555555577,Y0.994Np0.006
Cu-Ba,yes,5.425636388888895,Cu0.196Ba0.804
Cu-La,yes,5.316119999999999,Cu0.008La0.992
Cu-Bi,yes,6.204999999999977,Bi1.000
Cu-Ce,yes,2.732758425925925,Cu0.460Ce0.540
Cu-Fe,yes,8.39937027777778,Cu0.933Fe0.067
Cu-Li,yes,11.79166666666662,Cu0.001Li0.999
Cu-Hg,yes,7.1841952777777776,Cu0.324Hg0.676
Cu-V,yes,5.209083333333339,Cu0.013V0.987
Cu-Cr,yes,5.883663333333333,Cu0.457Cr0.543
Cu-Re,yes,3.5549497222222213,Cu0.217Re0.783
Cu-Nd,yes,3.6990715170940174,Cu0.058Nd0.942
Cu-Gd,yes,3.9100791968325788,Cu0.058Gd0.942
Cu-Yb,yes,2.4182722222222193,Cu0.249Yb0.751
Cu-Sm,yes,3.9248908974358976,Cu0.066Sm0.934
Cu-Eu,yes,3.2247352777777776,Cu0.068Eu0.932
Cu-Dy,yes,3.7359286125775117,Cu0.007Dy0.993
Cu-Ho,yes,3.924179196832584,Cu0.058Ho0.942
Cu-Be,yes,3.0002794444444345,Cu0.002Be0.998
Cu-Er,yes,3.685788085721464,Cu0.058Er0.942
Cu-Al,yes,2.836961590909092,Cu0.458Al0.542
Cu-Co,yes,2.234883055555555,Cu0.458Co0.542
Cu-Pr,yes,2.6471675000000006,Cu0.458Pr0.542
Cu-Cs,yes,2.761118675213675,Cu0.068Cs0.932
Cu-Rb,yes,3.2330261111111125,Cu0.253Rb0.747
Cu-Cd,yes,1.62359272727273,Cu0.467Cd0.533
Cu-Ga,yes,5.281598376068358,Cu0.006Ga0.994
Cu-K,yes,2.9674344047619057,Cu0.313K0.687
Cu-Na,yes,3.8348408634992475,Cu0.058Na0.942
Cu-Ni,yes,2.1780974999999985,Cu0.453Ni0.547
Cu-Tm,yes,3.794731114462881,Cu0.007Tm0.993
Cu-Lu,yes,4.488399999999992,Cu0.001Lu0.999
Cu-Zr,yes,3.290872222222222,Cu0.064Zr0.936
Cu-Sc,yes,8.213616666666669,Sc1.000
Cu-Tb,yes,3.230711264035527,Cu0.007Tb0.993
Cu-Mn,yes,2.189113611111109,Cu0.469Mn0.531
Cu-W,yes,2.686899444444442,Cu0.318W0.682
Cu-Ag,yes,1.4755502777777791,Cu0.504Ag0.496
Cu-Sn,yes,6.458908333333354,Cu0.100Sn0.900
Cu-In,yes,4.051846759259265,Cu0.068In0.932
Cu-Ge,yes,5.285348333333334,Cu0.001Ge0.999
Cu-Zn,yes,2.5900559999999953,Cu0.459Zn0.541
Cu-Ru,yes,2.3337138888888878,Cu0.504Ru0.496
Cu-Hf,yes,2.6446852777777767,Cu0.466Hf0.534
Cu-Nb,yes,9.16019763157896,Cu0.003Nb0.997
Cu-Pt,yes,1.5187550000000014,Cu0.495Pt0.505
Cu-Pd,yes,6.883364999999988,Cu0.461Pd0.539
Cu-Ta,yes,4.366685555555538,Cu0.003Ta0.997
Cu-Mo,yes,3.3064991666666597,Cu0.262Mo0.738
Cu-Tc,yes,8.056589444444425,Cu0.049Tc0.951
Cu-Rh,yes,2.017937222222222,Cu0.460Rh0.540
Cu-Os,yes,1.836846666666668,Cu0.470Os0.530
Cu-Ti,yes,3.2112402777777804,Cu0.180Ti0.820
