formula,Predicted_Tc
Ga0.837In0.050Sn0.113,4.2678420056702535
Ga0.086In0.144Sn0.770,4.14379444444445
Ga0.482In0.414Sn0.104,4.1430670467402955
Ga0.116In0.050Sn0.834,4.077523535353535
Ga0.016In0.652Sn0.332,6.46029999999999
Ga0.085In0.509Sn0.406,6.547518730158734
Ga0.384In0.110Sn0.506,4.788173064750068
Ga0.327In0.342Sn0.331,5.392059255226252
Ga0.303In0.327Sn0.370,5.415194969511966
Ga0.467In0.416Sn0.117,4.405057602295852
Ga0.546In0.051Sn0.403,4.101378240675991
Ga0.145In0.265Sn0.590,5.290063995671
Ga0.542In0.329Sn0.129,4.206170277560401
Ga0.355In0.372Sn0.273,5.311450836422841
Ga0.601In0.082Sn0.317,3.898217567182813
Ga0.495In0.334Sn0.171,4.4381995070577585
Ga0.371In0.258Sn0.371,4.648158858400856
Ga0.465In0.454Sn0.081,4.047492880073629
Ga0.007In0.606Sn0.387,6.663171666666652
Ga0.729In0.191Sn0.080,3.7440212264309785
Ga0.600In0.269Sn0.131,3.9367901004042234
Ga0.054In0.792Sn0.154,4.972361898656897
Ga0.261In0.375Sn0.364,6.067353302845301
Ga0.165In0.311Sn0.524,5.69880493584194
Ga0.289In0.283Sn0.428,5.262187747289749
Ga0.271In0.247Sn0.482,5.176725525067527
Ga0.440In0.052Sn0.508,4.696538620305624
Ga0.219In0.513Sn0.268,5.824046550708555
Ga0.273In0.506Sn0.221,5.5343948046768086
Ga0.486In0.325Sn0.189,4.294061729279982
Ga0.240In0.298Sn0.462,5.461497191734196
Ga0.239In0.305Sn0.456,5.491419413956419
Ga0.393In0.226Sn0.381,4.4285744139564125
Ga0.293In0.155Sn0.552,4.95915806475007
Ga0.353In0.433Sn0.214,5.058066868168873
Ga0.036In0.049Sn0.915,3.85506777777777
Ga0.547In0.004Sn0.449,4.315389907342659
Ga0.421In0.200Sn0.379,4.388629080623078
Ga0.351In0.361Sn0.288,5.8212086142006125
Ga0.040In0.260Sn0.700,4.908859444444451
Ga0.316In0.421Sn0.263,5.5504397253117315
Ga0.068In0.578Sn0.354,6.376320793650788
Ga0.194In0.371Sn0.435,6.427237713619719
Ga0.203In0.444Sn0.353,6.1427953663373644
Ga0.222In0.390Sn0.388,6.161519969511966
Ga0.521In0.128Sn0.351,4.012209656019901
Ga0.631In0.229Sn0.140,3.9772819380110627
Ga0.236In0.418Sn0.346,6.109345366337364
Ga0.463In0.534Sn0.003,3.2872461538831512
Ga0.620In0.087Sn0.293,3.811019233849481
Ga0.090In0.574Sn0.336,6.384213995670991
Ga0.579In0.333Sn0.088,3.7136581101722355
Ga0.434In0.032Sn0.534,4.652628620305623
Ga0.280In0.373Sn0.347,6.019790921892921
Ga0.242In0.412Sn0.346,6.084024255226254
Ga0.208In0.409Sn0.383,6.156519969511965
Ga0.139In0.504Sn0.357,6.403996376623372
Ga0.315In0.257Sn0.428,5.15392274728975
Ga0.313In0.219Sn0.468,5.020349969511971
Ga0.593In0.300Sn0.107,3.7706566816008067
Ga0.339In0.356Sn0.305,5.973607503089501
Ga0.461In0.119Sn0.420,4.239723981416731
Ga0.606In0.153Sn0.241,3.752889942844193
Ga0.570In0.171Sn0.259,3.9727880380822884
Ga0.286In0.327Sn0.387,5.445961636178633
Ga0.279In0.418Sn0.303,6.088051947533944
Ga0.587In0.152Sn0.261,3.755596133320384
Ga0.432In0.154Sn0.414,4.293826064750065
Ga0.032In0.504Sn0.464,6.892367063492067
Ga0.419In0.354Sn0.227,5.042139090391094
Ga0.472In0.394Sn0.134,4.506168713406962
Ga0.384In0.164Sn0.452,4.576060842527845
Ga0.096In0.717Sn0.187,5.490440656232657
Ga0.657In0.304Sn0.039,3.166600877405
Ga0.222In0.206Sn0.572,5.145642191734194
Ga0.079In0.423Sn0.498,6.632232460317464
Ga0.229In0.415Sn0.356,6.135987747289746
Ga0.589In0.358Sn0.053,3.6141220495661748
Ga0.358In0.515Sn0.127,4.85185012213712
Ga0.256In0.442Sn0.302,6.100418614200612
Ga0.625In0.270Sn0.105,3.7049473226264475
Ga0.255In0.452Sn0.293,6.184163058645055
Ga0.034In0.347Sn0.619,5.98636412698413
Ga0.031In0.055Sn0.914,3.8432977777777713
Ga0.308In0.191Sn0.501,5.17662885840086
Ga0.379In0.367Sn0.254,5.299674169756174
Ga0.217In0.361Sn0.422,6.194613302845309
Ga0.186In0.775Sn0.039,3.675260267038516
Ga0.441In0.245Sn0.314,4.394759725311724
Ga0.349In0.346Sn0.305,5.31854139197839
Ga0.375In0.380Sn0.245,5.306302979279984
Ga0.043In0.869Sn0.088,4.22932333333333
Ga0.557In0.145Sn0.298,3.9761938634791107
Ga0.567In0.398Sn0.035,3.1462305813122042
Ga0.545In0.107Sn0.348,3.9758144708347154
Ga0.287In0.002Sn0.711,4.341846953638956
Ga0.536In0.310Sn0.154,4.189618108248234
Ga0.376In0.439Sn0.185,4.961722423724426
Ga0.237In0.366Sn0.397,6.116519969511966
Ga0.140In0.818Sn0.042,3.9358052395659895
Ga0.686In0.187Sn0.127,3.8691166046777283
Ga0.226In0.391Sn0.383,6.156519969511965
Ga0.176In0.230Sn0.594,5.139441602508606
Ga0.249In0.410Sn0.341,6.084024255226254
Ga0.446In0.382Sn0.172,4.791496868168867
Ga0.312In0.227Sn0.461,5.031696636178638
Ga0.094In0.583Sn0.323,6.3717848625818565
Ga0.315In0.273Sn0.412,4.964074969511971
Ga0.134In0.450Sn0.416,6.351575106782112
Ga0.337In0.264Sn0.399,4.95097719173419
Ga0.602In0.179Sn0.219,3.9372572505365
Ga0.442In0.419Sn0.139,4.636265518962518
Ga0.310In0.481Sn0.209,5.3981903602323635
Ga0.186In0.230Sn0.584,5.139441602508606
Ga0.241In0.354Sn0.405,6.194613302845309
Ga0.007In0.505Sn0.488,7.02733428571429
Ga0.154In0.816Sn0.030,3.6388720490897972
Ga0.287In0.046Sn0.667,4.853241398083402
Ga0.574In0.336Sn0.090,3.738800610172235
Ga0.233In0.182Sn0.585,5.135026080623083
Ga0.293In0.020Sn0.687,4.565783620305624
Ga0.393In0.216Sn0.391,4.421741080623078
Ga0.256In0.515Sn0.229,5.804992026899031
Ga0.637In0.201Sn0.162,3.96615554647667
Ga0.165In0.440Sn0.395,6.239022158064154
Ga0.408In0.472Sn0.120,4.489004407851407
Ga0.269In0.662Sn0.069,4.562813574518075
Ga0.118In0.549Sn0.333,6.3815706623376585
Ga0.209In0.389Sn0.402,6.269958858400863
Ga0.314In0.411Sn0.275,5.525118614200621
Ga0.455In0.446Sn0.099,4.058008435629184
Ga0.176In0.305Sn0.519,5.69964493584194
Ga0.499In0.042Sn0.459,4.468068203638954
Ga0.366In0.330Sn0.304,5.20231139197839
Ga0.023In0.545Sn0.432,6.871398174603179
Ga0.295In0.670Sn0.035,3.7375207173752187
Ga0.296In0.635Sn0.069,4.447270241184741
Ga0.151In0.299Sn0.550,5.587298995671001
Ga0.513In0.209Sn0.278,4.219178141978391
Ga0.369In0.290Sn0.341,4.8679736996706975
Ga0.402In0.195Sn0.403,4.519951858400858
Ga0.281In0.005Sn0.714,4.33804028697229
Ga0.516In0.220Sn0.264,4.156910618168871
Ga0.678In0.128Sn0.194,3.727254567640692
Ga0.266In0.557Sn0.177,5.378105915787915
Ga0.158In0.183Sn0.659,5.032708757575762
Ga0.822In0.178,4.0399478068366825
Ga0.348In0.238Sn0.414,4.779771636178637
Ga0.269In0.372Sn0.359,6.053766636178635
Ga0.183In0.674Sn0.143,5.166977707514705
Ga0.165In0.462Sn0.373,6.264149935841933
Ga0.427In0.129Sn0.444,4.444811064750067
