formula,Predicted_Tc
Ga0.149In0.262Sn0.589,6.016530000000011
Ga0.421In0.224Sn0.355,5.897839166666675
Ga0.278In0.270Sn0.452,6.1796719444444514
Ga0.111In0.484Sn0.405,6.687545833333337
Ga0.245In0.613Sn0.142,6.3654500000000045
Ga0.286In0.508Sn0.206,6.596261944444447
Ga0.012In0.054Sn0.934,3.688435555555555
Ga0.503In0.175Sn0.322,5.593743333333343
Ga0.541In0.114Sn0.345,5.285478611111117
Ga0.084In0.721Sn0.195,6.084518055555555
Ga0.423In0.262Sn0.315,6.081365555555565
Ga0.270In0.039Sn0.691,5.105775555555559
Ga0.126In0.513Sn0.361,6.7078361111111136
Ga0.350In0.113Sn0.537,5.56383194444445
Ga0.287In0.479Sn0.234,6.533154166666671
Ga0.584In0.393Sn0.023,4.592925694444452
Ga0.540In0.210Sn0.250,5.762836944444454
Ga0.133In0.628Sn0.239,6.279575833333336
Ga0.368In0.225Sn0.407,6.042044166666674
Ga0.239In0.694Sn0.067,5.588919722222227
Ga0.303In0.268Sn0.429,6.091517500000009
Ga0.463In0.024Sn0.513,5.102456388888892
Ga0.211In0.433Sn0.356,6.663422500000006
Ga0.405In0.541Sn0.054,5.295266666666674
Ga0.156In0.349Sn0.495,6.48600361111112
Ga0.415In0.149Sn0.436,5.640700555555562
Ga0.048In0.801Sn0.151,5.5248613888888904
Ga0.407In0.163Sn0.430,5.707073333333342
Ga0.273In0.687Sn0.040,5.250301805555561
Ga0.393In0.221Sn0.386,6.0176380555555635
Ga0.443In0.157Sn0.400,5.711957222222231
Ga0.076In0.621Sn0.303,6.569866666666671
Ga0.251In0.385Sn0.364,6.541330555555564
Ga0.395In0.377Sn0.228,6.388883611111118
Ga0.273In0.458Sn0.269,6.561239444444451
Ga0.604In0.138Sn0.258,5.42622750000001
Ga0.172In0.406Sn0.422,6.694571666666673
Ga0.420In0.144Sn0.436,5.580706666666673
Ga0.282In0.505Sn0.213,6.584237777777781
Ga0.342In0.550Sn0.108,5.94170583333334
Ga0.692In0.179Sn0.129,5.490584444444455
Ga0.534In0.205Sn0.261,5.7661038888889
Ga0.264In0.429Sn0.307,6.622115833333339
Ga0.438In0.308Sn0.254,6.143591666666676
Ga0.555In0.183Sn0.262,5.645211944444454
Ga0.091In0.469Sn0.440,6.569574166666669
Ga0.401In0.466Sn0.133,6.040797777777784
